"#","No.","Name","Category","Laps","Lead","Lap Tm","Spd","Elapsed Tm","Passing Tm","Hits","Strength","Noise","Photocell Time","Transponder","Backup Tx","Backup Passing Tm"
"1","","Category Start","Vet 40-49","","","","","0.000","13:25:55.404","","","","","","",""
"2","","Category Start","Senior","","","","","0.000","13:25:55.404","","","","","","",""
"3","132","Stephen Jackson","Vet 40-49","1","1","","0.0","2:59.784","13:28:55.188","69","150","25","","332","0",""
"4","189","Daniel Whitehead","Senior","1","1","","0.0","3:00.462","13:28:55.866","68","147","25","","389","0",""
"5","174","David Lines","Senior","1","1","","0.0","3:01.896","13:28:57.300","65","156","25","","374","0",""
"6","119","Crawford Carrick-Anderson","Vet 40-49","1","1","","0.0","3:02.602","13:28:58.006","71","175","25","","319","0",""
"7","168","Ian Dunlop","Senior","1","1","","0.0","3:05.048","13:29:00.452","65","154","25","","368","0",""
"8","129","Hans Forhaug","Vet 40-49","1","1","","0.0","3:08.603","13:29:04.007","63","146","26","","329","0",""
"9","143","James Melville","Vet 40-49","1","1","","0.0","3:10.814","13:29:06.218","70","151","26","","343","0",""
"10","181","Tom Owens","Senior","1","1","","0.0","3:13.196","13:29:08.600","60","157","26","","381","0",""
"11","146","Michael Nally","Vet 40-49","1","1","","0.0","3:18.378","13:29:13.782","67","155","26","","346","0",""
"12","165","Jim Cameron","Senior","1","1","","0.0","3:23.784","13:29:19.188","67","170","29","","365","0",""
"13","196","Simon Fairfull","Senior","1","1","","0.0","3:26.641","13:29:22.045","76","147","29","","396","0",""
"14","148","Malcolm Paterson","Vet 40-49","1","1","","0.0","3:29.401","13:29:24.805","71","152","29","","348","0",""
"15","173","Scott Lindsay","Senior","1","1","","0.0","3:30.738","13:29:26.142","73","152","29","","373","0",""
"16","117","Jason Barnes","Vet 40-49","1","1","","0.0","3:32.407","13:29:27.811","67","157","29","","317","0",""
"17","170","Craig Hamilton","Senior","1","1","","0.0","3:33.770","13:29:29.174","74","145","29","","370","0",""
"18","147","Steve Nicholson","Vet 40-49","1","1","","0.0","3:35.290","13:29:30.694","65","142","29","","347","0",""
"19","144","Fraser Moore","Vet 40-49","1","1","","0.0","3:36.100","13:29:31.504","68","168","29","","344","0",""
"20","185","Steven Turbitt","Senior","1","1","","0.0","3:37.635","13:29:33.039","67","151","29","","385","0",""
"21","178","Ewan Mulhern","Senior","1","1","","0.0","3:38.356","13:29:33.760","71","141","29","","378","0",""
"22","188","Adam Wallace","Senior","1","1","","0.0","3:39.960","13:29:35.364","64","159","29","","388","0",""
"23","150","Matthew Smith","Vet 40-49","1","1","","0.0","3:42.616","13:29:38.020","68","157","29","","350","0",""
"24","156","John Woodrow","Vet 40-49","1","1","","0.0","3:43.580","13:29:38.984","74","144","29","","356","0",""
"25","152","Andrew Strathdee","Vet 40-49","1","1","","0.0","3:44.586","13:29:39.990","72","169","30","","352","0",""
"26","190","Crawford Whyte","Senior","1","1","","0.0","3:45.112","13:29:40.516","69","162","30","","390","0",""
"27","131","Ronald Barker","Vet 40-49","1","1","","0.0","3:45.987","13:29:41.391","69","166","30","","331","0",""
"28","120","Malcolm Cooper","Vet 40-49","1","1","","0.0","3:49.009","13:29:44.413","74","148","30","","320","0",""
"29","136","Iain Macleod","Vet 40-49","1","1","","0.0","3:53.237","13:29:48.641","73","162","30","","336","0",""
