"#","No.","Name","Category","Laps","Lead","Lap Tm","Spd","Elapsed Tm","Passing Tm","Hits","Strength","Noise","Photocell Time","Transponder","Backup Tx","Backup Passing Tm"
"1","","Category Start","U16 Male","","","","","0.000","11:22:43.987","","","","","","",""
"2","","Category Start","U14 Male","","","","","0.000","11:22:43.987","","","","","","",""
"3","","Category Start","U16 Female","","","","","0.000","11:22:43.987","","","","","","",""
"4","","Category Start","U14 Female","","","","","0.000","11:22:43.987","","","","","","",""
"5","37","Cameron Mason","U16 Male","1","1","","0.0","3:30.765","11:26:14.752","65","166","21","","237","0",""
"6","29","Callum Cooper","U14 Male","1","1","","0.0","3:46.083","11:26:30.070","75","150","21","","229","0",""
"7","28","Corran Carrick-Anderson","U14 Male","1","1","","0.0","4:10.646","11:26:54.633","71","166","19","","228","0",""
"8","41","Anna McGorum","U16 Female","1","1","","0.0","4:11.377","11:26:55.364","61","154","19","","241","0",""
"9","33","Sorley Johnston","U14 Male","1","1","","0.0","4:18.996","11:27:02.983","76","137","22","","233","0",""
"10","40","Elena McGorum","U14 Female","1","1","","0.0","4:31.434","11:27:15.421","75","167","35","","240","0",""
"11","47","Megan Wilkinson","U16 Female","1","1","","0.0","4:40.051","11:27:24.038","70","139","23","","247","0",""
"12","42","Louis Moore","U14 Male","1","1","","0.0","4:57.870","11:27:41.857","75","167","21","","242","0",""
"13","26","Ross Birrell","U14 Male","1","1","","0.0","5:00.717","11:27:44.704","82","143","21","","226","0",""
"14","31","Estelle Fuller","U16 Female","1","1","","0.0","5:01.510","11:27:45.497","82","156","21","","231","0",""
"15","45","Lucas Whitehead","U14 Male","1","1","","0.0","5:02.741","11:27:46.728","72","149","21","","245","0",""
"16","35","Katherine Macleod","U14 Female","1","1","","0.0","5:03.648","11:27:47.635","83","152","21","","235","0",""
"17","46","Emily Wilkinson","U14 Female","1","1","","0.0","5:05.500","11:27:49.487","76","142","21","","246","0",""
"18","32","Polly Henderson","U16 Female","1","1","","0.0","5:26.693","11:28:10.680","71","168","19","","232","0",""
"19","44","Ishbel Strathdee","U16 Female","1","1","","0.0","5:33.224","11:28:17.211","69","154","19","","244","0",""
"20","43","Sophie Paterson","U14 Female","1","1","","0.0","5:34.202","11:28:18.189","76","155","19","","243","0",""
"21","37","Cameron Mason","U16 Male","2","2","7:18.151","11.5","10:48.916","11:33:32.903","62","158","17","","237","0",""
"22","29","Callum Cooper","U14 Male","2","2","8:08.582","10.3","11:54.665","11:34:38.652","67","143","16","","229","0",""
"23","28","Corran Carrick-Anderson","U14 Male","2","2","8:41.741","9.7","12:52.387","11:35:36.374","67","162","19","","228","0",""
"24","41","Anna McGorum","U16 Female","2","2","8:41.452","9.7","12:52.829","11:35:36.816","75","158","19","","241","0",""
"25","33","Sorley Johnston","U14 Male","2","2","9:14.738","9.1","13:33.734","11:36:17.721","73","143","22","","233","0",""
"26","32","Polly Henderson","U16 Female","2","2","9:02.560","9.3","14:29.253","11:37:13.240","71","156","28","","232","0",""
"27","47","Megan Wilkinson","U16 Female","2","2","10:18.690","8.1","14:58.741","11:37:42.728","77","164","27","","247","0",""
"28","40","Elena McGorum","U14 Female","2","2","10:52.213","7.7","15:23.647","11:38:07.634","60","164","27","","240","0",""
"29","45","Lucas Whitehead","U14 Male","2","2","10:31.049","8.0","15:33.790","11:38:17.777","69","155","22","","245","0",""
"30","42","Louis Moore","U14 Male","2","2","10:52.679","7.7","15:50.549","11:38:34.536","68","150","22","","242","0",""
"31","26","Ross Birrell","U14 Male","2","2","10:53.554","7.7","15:54.271","11:38:38.258","79","146","22","","226","0",""
"32","31","Estelle Fuller","U16 Female","2","2","11:10.590","7.5","16:12.100","11:38:56.087","74","150","20","","231","0",""
"33","44","Ishbel Strathdee","U16 Female","2","2","10:39.306","7.9","16:12.530","11:38:56.517","84","171","20","","244","0",""
"34","35","Katherine Macleod","U14 Female","2","2","11:09.231","7.5","16:12.879","11:38:56.866","76","150","20","","235","0",""
"35","46","Emily Wilkinson","U14 Female","2","2","11:08.051","7.5","16:13.551","11:38:57.538","82","169","21","","246","0",""
"36","43","Sophie Paterson","U14 Female","2","2","12:02.766","7.0","17:36.968","11:40:20.955","77","155","22","","243","0",""
"37","37","Cameron Mason","U16 Male","3","3","7:27.882","11.3","18:16.798","11:41:00.785","69","153","20","","237","0",""
"38","29","Callum Cooper","U14 Male","3","3","8:17.368","10.1","20:12.033","11:42:56.020","75","136","20","","229","0",""
"39","41","Anna McGorum","U16 Female","3","3","8:51.682","9.5","21:44.511","11:44:28.498","63","161","19","","241","0",""
"40","28","Corran Carrick-Anderson","U14 Male","3","3","8:52.964","9.5","21:45.351","11:44:29.338","73","165","19","","228","0",""
"41","33","Sorley Johnston","U14 Male","3","3","9:54.295","8.5","23:28.029","11:46:12.016","67","163","20","","233","0",""
"42","32","Polly Henderson","U16 Female","3","3","9:25.711","8.9","23:54.964","11:46:38.951","77","141","20","","232","0",""
"43","47","Megan Wilkinson","U16 Female","3","3","10:30.766","8.0","25:29.507","11:48:13.494","80","166","21","","247","0",""
"44","26","Ross Birrell","U14 Male","3","3","9:42.911","8.6","25:37.182","11:48:21.169","80","144","21","","226","0",""
"45","42","Louis Moore","U14 Male","3","3","9:54.625","8.5","25:45.174","11:48:29.161","64","152","20","","242","0",""
"46","40","Elena McGorum","U14 Female","3","3","10:24.387","8.1","25:48.034","11:48:32.021","75","144","20","","240","0",""
"47","37","Cameron Mason","U16 Male","4","4","7:33.053","11.1","25:49.851","11:48:33.838","65","165","21","","237","0",""
"48","45","Lucas Whitehead","U14 Male","3","3","10:33.794","8.0","26:07.584","11:48:51.571","74","143","21","","245","0",""
"49","29","Callum Cooper","U14 Male","4","4","8:31.336","9.9","28:43.369","11:51:27.356","75","141","20","","229","0",""
"50","44","Ishbel Strathdee","U16 Female","3","3","12:51.467","6.5","29:03.997","11:51:47.984","69","164","21","","244","0",""
"51","31","Estelle Fuller","U16 Female","3","3","12:52.349","6.5","29:04.449","11:51:48.436","78","141","21","","231","0",""
"52","35","Katherine Macleod","U14 Female","3","3","12:51.997","6.5","29:04.876","11:51:48.863","83","172","21","","235","0",""
"53","46","Emily Wilkinson","U14 Female","3","3","12:52.139","6.5","29:05.690","11:51:49.677","80","162","21","","246","0",""
"54","43","Sophie Paterson","U14 Female","3","3","12:55.846","6.5","30:32.814","11:53:16.801","72","165","22","","243","0",""
"55","28","Corran Carrick-Anderson","U14 Male","4","4","8:48.150","9.5","30:33.501","11:53:17.488","81","139","22","","228","0",""
"56","41","Anna McGorum","U16 Female","4","4","9:01.376","9.3","30:45.887","11:53:29.874","61","154","20","","241","0",""
"57","33","Sorley Johnston","U14 Male","4","4","9:35.191","8.8","33:03.220","11:55:47.207","78","139","19","","233","0",""
"58","37","Cameron Mason","U16 Male","5","5","7:47.405","10.8","33:37.256","11:56:21.243","66","141","20","","237","0",""
"59","32","Polly Henderson","U16 Female","4","4","9:43.833","8.6","33:38.797","11:56:22.784","68","169","20","","232","0",""
"60","42","Louis Moore","U14 Male","4","4","10:07.505","8.3","35:52.679","11:58:36.666","78","154","19","","242","0",""
"61","26","Ross Birrell","U14 Male","4","4","10:17.170","8.2","35:54.352","11:58:38.339","68","147","19","","226","0",""
"62","40","Elena McGorum","U14 Female","4","4","10:22.986","8.1","36:11.020","11:58:55.007","72","142","20","","240","0",""
"63","47","Megan Wilkinson","U16 Female","4","4","10:42.460","7.8","36:11.967","11:58:55.954","75","152","20","","247","0",""
"64","29","Callum Cooper","U14 Male","5","5","8:32.168","9.8","37:15.537","11:59:59.524","74","140","19","","229","0",""
"65","45","Lucas Whitehead","U14 Male","4","5","11:09.914","7.5","37:17.498","12:00:01.485","72","170","19","","245","0",""
"66","28","Corran Carrick-Anderson","U14 Male","5","5","8:31.648","9.9","39:05.149","12:01:49.136","74","148","18","","228","0",""
"67","41","Anna McGorum","U16 Female","5","5","9:12.223","9.1","39:58.110","12:02:42.097","62","146","19","","241","0",""
"68","31","Estelle Fuller","U16 Female","4","5","12:03.083","7.0","41:07.532","12:03:51.519","70","154","22","","231","0",""
"69","44","Ishbel Strathdee","U16 Female","4","5","12:04.509","7.0","41:08.506","12:03:52.493","75","146","22","","244","0",""
"70","35","Katherine Macleod","U14 Female","4","4","12:04.205","7.0","41:09.081","12:03:53.068","73","159","22","","235","0",""
"71","46","Emily Wilkinson","U14 Female","4","4","12:04.314","7.0","41:10.004","12:03:53.991","66","151","23","","246","0",""
"72","","Category Finish","U14 Female","","","","","41:20.180","12:04:04.167","","","","","","",""
"73","","Category Finish","U14 Male","","","","","41:20.180","12:04:04.167","","","","","","",""
"74","","Category Finish","U16 Female","","","","","41:20.180","12:04:04.167","","","","","","",""
"75","","Category Finish","U16 Male","","","","","41:20.180","12:04:04.167","","","","","","",""
"76","37","Cameron Mason","U16 Male","6","6","7:49.309","10.7","41:26.565","12:04:10.552","76","166","19","","237","0",""
"77","??","HS-91391","","0","0","","0.0","","12:04:52.110","74","92","19","","318","0",""
"78","33","Sorley Johnston","U14 Male","5","5","9:22.727","9.0","42:25.947","12:05:09.934","83","143","19","","233","0",""
"79","32","Polly Henderson","U16 Female","5","5","9:31.404","8.8","43:10.201","12:05:54.188","83","171","19","","232","0",""
"80","43","Sophie Paterson","U14 Female","4","4","13:37.609","6.2","44:10.423","12:06:54.410","84","144","23","","243","0",""
"81","??","FN-19635","","0","0","","0.0","","12:07:28.720","83","139","18","","256","0",""
"82","29","Callum Cooper","U14 Male","6","6","8:44.248","9.6","45:59.785","12:08:43.772","84","167","20","","229","0",""
"83","42","Louis Moore","U14 Male","5","6","10:36.542","7.9","46:29.221","12:09:13.208","76","171","22","","242","0",""
"84","26","Ross Birrell","U14 Male","5","6","10:35.036","7.9","46:29.388","12:09:13.375","78","163","22","","226","0",""
"85","28","Corran Carrick-Anderson","U14 Male","6","6","8:31.585","9.9","47:36.734","12:10:20.721","80","169","20","","228","0",""
"86","40","Elena McGorum","U14 Female","5","5","11:34.594","7.3","47:45.614","12:10:29.601","83","171","20","","240","0",""
"87","47","Megan Wilkinson","U16 Female","5","5","11:35.124","7.3","47:47.091","12:10:31.078","75","141","20","","247","0",""
"88","45","Lucas Whitehead","U14 Male","5","6","11:41.564","7.2","48:59.062","12:11:43.049","76","148","21","","245","0",""
"89","41","Anna McGorum","U16 Female","6","6","9:16.363","9.1","49:14.473","12:11:58.460","77","165","19","","241","0",""
"90","46","Emily Wilkinson","U14 Female","5","5","12:56.654","6.5","54:06.658","12:16:50.645","79","148","17","","246","0",""
"91","35","Katherine Macleod","U14 Female","5","5","12:57.704","6.5","54:06.785","12:16:50.772","77","152","17","","235","0",""
"92","31","Estelle Fuller","U16 Female","5","6","13:01.723","6.4","54:09.255","12:16:53.242","78","144","16","","231","0",""
"93","44","Ishbel Strathdee","U16 Female","5","6","13:00.857","6.5","54:09.363","12:16:53.350","79","158","16","","244","0",""
"94","","Timing Stopped","","","","","","","12:17:06.594","","","","","","",""
