"#","No.","Name","Category","Laps","Lead","Lap Tm","Spd","Elapsed Tm","Passing Tm","Hits","Strength","Noise","Photocell Time","Transponder","Backup Tx","Backup Passing Tm"
"1","","Category Start","45-49M","","","","","0.000","12:41:29.437","","","","","","",""
"2","","Category Start","40-44M","","","","","0.000","12:41:29.437","","","","","","",""
"3","208","Ronald Barker","45-49M","0","0","51.670","125.4","0.000","12:42:21.107","74","158","23","","408","0",""
"4","149","Stephen Jackson","40-44M","1","1","5:11.796","20.8","5:11.796","12:46:41.233","60","125","21","","349","0",""
"5","184","FRANCO PORCO","45-49M","1","1","5:19.050","20.3","5:19.050","12:46:48.487","58","139","24","","384","0",""
"6","177","Gary McCrae","45-49M","1","1","5:24.280","20.0","5:24.280","12:46:53.717","64","142","26","","377","0",""
"7","193","James Melville","45-49M","1","1","5:24.626","20.0","5:24.626","12:46:54.063","64","134","26","","393","0",""
"8","187","John Mccaffery","45-49M","1","1","5:25.624","19.9","5:25.624","12:46:55.061","60","141","26","","387","0",""
"9","134","Alan Maxwell","40-44M","1","1","5:25.891","19.9","5:25.891","12:46:55.328","60","155","26","","334","0",""
"10","178","Iain mcmullen","45-49M","1","1","5:26.943","19.8","5:26.943","12:46:56.380","62","135","26","","378","0",""
"11","147","Matthew Smith","40-44M","1","1","5:41.112","19.0","5:41.112","12:47:10.549","61","156","19","","347","0",""
"12","175","Alex Baird","45-49M","1","1","5:44.060","18.8","5:44.060","12:47:13.497","64","134","19","","375","0",""
"13","137","John Woodrow","40-44M","1","1","5:44.600","18.8","5:44.600","12:47:14.037","64","155","19","","337","0",""
"14","160","Simon Muir","40-44M","1","1","5:48.179","18.6","5:48.179","12:47:17.616","64","129","13","","360","0",""
"15","138","Keith Froude","40-44M","1","1","5:49.266","18.6","5:49.266","12:47:18.703","62","139","13","","338","0",""
"16","148","Paul Anderson","40-44M","1","1","5:49.918","18.5","5:49.918","12:47:19.355","62","143","13","","348","0",""
"17","155","David Lindsay","40-44M","1","1","5:57.420","18.1","5:57.420","12:47:26.857","61","156","15","","355","0",""
"18","158","Keith Morrison","40-44M","1","1","5:58.096","18.1","5:58.096","12:47:27.533","62","149","15","","358","0",""
"19","125","dave smeaton","40-44M","1","1","5:58.459","18.1","5:58.459","12:47:27.896","63","140","15","","325","0",""
"20","150","Stuart Punton","40-44M","1","1","6:00.545","18.0","6:00.545","12:47:29.982","65","149","15","","350","0",""
"21","192","Gordon Traynor","45-49M","1","1","6:02.582","17.9","6:02.582","12:47:32.019","58","135","15","","392","0",""
"22","185","Gary Johnstone","45-49M","1","1","6:05.365","17.7","6:05.365","12:47:34.802","52","152","15","","385","0",""
"23","145","malcolm cooper","40-44M","1","1","6:05.713","17.7","6:05.713","12:47:35.150","59","127","15","","345","0",""
"24","152","Colin Adam","40-44M","1","1","6:10.423","17.5","6:10.423","12:47:39.860","60","133","21","","352","0",""
