"#","No.","Name","Category","Laps","Lead","Lap Tm","Spd","Elapsed Tm","Passing Tm","Hits","Strength","Noise","Photocell Time","Transponder","Backup Tx","Backup Passing Tm"
"1","","Category Start","Senior Female","","","","","0.000","12:05:51.028","","","","","","",""
"2","","Category Start","Vet Female","","","","","0.000","12:05:51.028","","","","","","",""
"3","21","Aileen Tan","Senior Female","0","0","","0.0","2.619","12:05:53.647","54","165","39","","221","0",""
"4","9","Ailsa Curtis","Senior Female","0","0","","0.0","2.754","12:05:53.782","64","169","39","","209","0",""
"5","6","Mireille Captieux","Senior Female","0","0","","0.0","2.891","12:05:53.919","70","165","39","","206","0",""
"6","25","Gillian Anderson","Vet Female","0","0","","0.0","2.947","12:05:53.975","69","141","39","","225","0",""
"7","23","Elizabeth Wisdish","Senior Female","0","0","","0.0","3.279","12:05:54.307","73","151","39","","223","0",""
"8","18","Yvonne Shaw","Senior Female","0","0","","0.0","3.428","12:05:54.456","57","165","39","","218","0",""
"9","13","Amy Hickman","Senior Female","0","0","","0.0","3.490","12:05:54.518","64","147","39","","213","0",""
"10","5","KIRSTEN CAMERON","Senior Female","0","0","","0.0","3.558","12:05:54.586","67","167","39","","205","0",""
"11","26","Linda Buchanan","Vet Female","0","0","","0.0","3.946","12:05:54.974","67","146","39","","226","0",""
"12","47","Peggy Series","Vet Female","0","0","","0.0","4.121","12:05:55.149","60","139","39","","247","0",""
"13","41","Diane Clayton Chisholm","Vet Female","0","0","","0.0","4.173","12:05:55.201","62","142","39","","241","0",""
"14","3","Lauren Barr","Senior Female","0","0","","0.0","4.202","12:05:55.230","60","163","39","","203","0",""
"15","7","Lettie Chambers","Senior Female","0","0","","0.0","4.473","12:05:55.501","63","144","39","","207","0",""
"16","16","Caroline Quigley","Senior Female","0","0","","0.0","4.498","12:05:55.526","65","148","39","","216","0",""
"17","32","Marsie Ewing","Vet Female","0","0","","0.0","4.594","12:05:55.622","72","144","39","","232","0",""
"18","19","Catherine Smith","Senior Female","0","0","","0.0","4.915","12:05:55.943","56","163","39","","219","0",""
"19","42","Lorna McGregor","Vet Female","0","0","","0.0","5.059","12:05:56.087","59","144","39","","242","0",""
"20","35","Marion Kennedy","Vet Female","0","0","","0.0","5.233","12:05:56.261","59","145","39","","235","0",""
"21","15","Rebecca Murdoch","Senior Female","0","0","","0.0","5.244","12:05:56.272","65","147","39","","215","0",""
"22","22","Jennifer Tough","Senior Female","0","0","","0.0","5.290","12:05:56.318","50","151","39","","222","0",""
"23","34","Anna Henly","Vet Female","0","0","","0.0","5.667","12:05:56.695","65","160","39","","234","0",""
"24","11","Hazel Golda","Senior Female","0","0","","0.0","5.785","12:05:56.813","65","155","39","","211","0",""
"25","10","Lynsay Falconer","Senior Female","0","0","","0.0","5.865","12:05:56.893","64","162","39","","210","0",""
"26","43","Justine Paton","Vet Female","0","0","","0.0","6.064","12:05:57.092","62","150","39","","243","0",""
"27","30","Audrey Davies","Vet Female","0","0","","0.0","6.153","12:05:57.181","65","171","39","","230","0",""
"28","29","Lynne Davies","Vet Female","0","0","","0.0","6.213","12:05:57.241","60","143","39","","229","0",""
"29","20","Liz Stafford","Senior Female","0","0","","0.0","6.466","12:05:57.494","68","161","39","","220","0",""
"30","4","Catriona Buchanan","Senior Female","0","0","","0.0","6.606","12:05:57.634","64","154","39","","204","0",""
"31","39","Kathryn MacKenzie","Vet Female","0","0","","0.0","6.916","12:05:57.944","69","141","39","","239","0",""
"32","40","Lesley Marshall","Vet Female","0","0","","0.0","7.093","12:05:58.121","71","159","39","","240","0",""
"33","12","Helen Gorman","Senior Female","0","0","","0.0","7.254","12:05:58.282","70","144","39","","212","0",""
"34","8","Katherine Cotter","Senior Female","0","0","","0.0","7.540","12:05:58.568","69","163","39","","208","0",""
"35","44","Wilma Phillips","Vet Female","0","0","","0.0","7.609","12:05:58.637","62","159","39","","244","0",""
"36","33","Morag Green","Vet Female","0","0","","0.0","7.666","12:05:58.694","60","159","39","","233","0",""
"37","31","Carole Dick","Vet Female","0","0","","0.0","7.822","12:05:58.850","66","146","39","","231","0",""
"38","27","Louise Carey","Vet Female","0","0","","0.0","8.155","12:05:59.183","69","153","39","","227","0",""
"39","50","Jane Timperley","Vet Female","0","0","","0.0","8.252","12:05:59.280","62","164","39","","250","0",""
"40","2","Pammie Ball","Senior Female","0","0","","0.0","8.296","12:05:59.324","70","148","39","","202","0",""
"41","14","Carrie Leighton","Senior Female","0","0","","0.0","8.761","12:05:59.789","72","152","39","","214","0",""
"42","17","Kirsty Ryder","Senior Female","0","0","","0.0","9.126","12:06:00.154","75","139","39","","217","0",""
"43","28","Susan Cooper","Vet Female","0","0","","0.0","9.799","12:06:00.827","74","137","39","","228","0",""
"44","45","Tanya Price","Vet Female","0","0","","0.0","9.889","12:06:00.917","72","168","39","","245","0",""
"45","??","TL-16402","","0","0","","0.0","","12:06:42.500","82","108","35","","397","0",""
"46","??","TL-16402","","0","0","","0.0","","12:06:54.848","58","99","34","","397","0",""
"47","??","TL-16402","","0","0","","0.0","","12:07:04.775","84","104","32","","397","0",""
"48","??","TL-16402","","0","0","","0.0","","12:07:11.598","80","104","22","","397","0",""
"49","??","HP-45203","","0","0","","0.0","","12:08:23.680","2","28","40","","495","0",""
"50","21","Aileen Tan","Senior Female","1","1","4:38.492","15.5","4:41.111","12:10:32.139","72","144","20","","221","0",""
"51","6","Mireille Captieux","Senior Female","1","1","4:41.398","15.4","4:44.289","12:10:35.317","72","155","22","","206","0",""
"52","7","Lettie Chambers","Senior Female","1","1","4:40.519","15.4","4:44.992","12:10:36.020","68","146","22","","207","0",""
"53","9","Ailsa Curtis","Senior Female","1","1","4:49.489","14.9","4:52.243","12:10:43.271","71","162","37","","209","0",""
"54","5","KIRSTEN CAMERON","Senior Female","1","1","4:50.393","14.9","4:53.951","12:10:44.979","73","156","33","","205","0",""
"55","47","Peggy Series","Vet Female","1","1","4:52.010","14.8","4:56.131","12:10:47.159","71","152","33","","247","0",""
"56","41","Diane Clayton Chisholm","Vet Female","1","1","4:55.538","14.6","4:59.711","12:10:50.739","73","156","21","","241","0",""
"57","18","Yvonne Shaw","Senior Female","1","1","5:02.666","14.3","5:06.094","12:10:57.122","52","163","37","","218","0",""
"58","25","Gillian Anderson","Vet Female","1","1","5:16.001","13.7","5:18.948","12:11:09.976","75","148","36","","225","0",""
"59","19","Catherine Smith","Senior Female","1","1","5:16.797","13.6","5:21.712","12:11:12.740","75","139","35","","219","0",""
"60","13","Amy Hickman","Senior Female","1","1","5:18.988","13.5","5:22.478","12:11:13.506","76","145","35","","213","0",""
"61","35","Marion Kennedy","Vet Female","1","1","5:19.603","13.5","5:24.836","12:11:15.864","76","146","35","","235","0",""
"62","42","Lorna McGregor","Vet Female","1","1","5:28.674","13.1","5:33.733","12:11:24.761","74","138","25","","242","0",""
"63","11","Hazel Golda","Senior Female","1","1","5:30.383","13.1","5:36.168","12:11:27.196","78","145","21","","211","0",""
"64","29","Lynne Davies","Vet Female","1","1","5:40.254","12.7","5:46.467","12:11:37.495","75","141","33","","229","0",""
"65","3","Lauren Barr","Senior Female","1","1","5:50.051","12.3","5:54.253","12:11:45.281","77","147","29","","203","0",""
"66","1","Lindsay Arnott","Senior Female","0","1","","0.0","5:54.308","12:11:45.336","","","0","","","",""
"67","34","Anna Henly","Vet Female","1","1","5:51.291","12.3","5:56.958","12:11:47.986","70","166","21","","234","0",""
"68","16","Caroline Quigley","Senior Female","1","1","5:55.735","12.1","6:00.233","12:11:51.261","75","149","29","","216","0",""
"69","32","Marsie Ewing","Vet Female","1","1","5:55.937","12.1","6:00.531","12:11:51.559","73","170","29","","232","0",""
"70","22","Jennifer Tough","Senior Female","1","1","5:56.094","12.1","6:01.384","12:11:52.412","71","143","29","","222","0",""
"71","12","Helen Gorman","Senior Female","1","1","5:54.342","12.2","6:01.596","12:11:52.624","73","153","29","","212","0",""
"72","4","Catriona Buchanan","Senior Female","1","1","6:01.633","11.9","6:08.239","12:11:59.267","71","136","39","","204","0",""
"73","2","Pammie Ball","Senior Female","1","1","6:08.171","11.7","6:16.467","12:12:07.495","82","141","35","","202","0",""
"74","15","Rebecca Murdoch","Senior Female","1","1","6:13.037","11.6","6:18.281","12:12:09.309","73","168","35","","215","0",""
"75","39","Kathryn MacKenzie","Vet Female","1","1","6:13.130","11.6","6:20.046","12:12:11.074","77","145","35","","239","0",""
"76","43","Justine Paton","Vet Female","1","1","6:18.515","11.4","6:24.579","12:12:15.607","82","150","35","","243","0",""
"77","33","Morag Green","Vet Female","1","1","6:20.637","11.3","6:28.303","12:12:19.331","76","164","35","","233","0",""
"78","10","Lynsay Falconer","Senior Female","1","1","6:25.728","11.2","6:31.593","12:12:22.621","82","152","27","","210","0",""
"79","20","Liz Stafford","Senior Female","1","1","6:28.855","11.1","6:35.321","12:12:26.349","77","143","21","","220","0",""
"80","27","Louise Carey","Vet Female","1","1","6:42.091","10.7","6:50.246","12:12:41.274","76","139","15","","227","0",""
"81","31","Carole Dick","Vet Female","1","1","6:48.094","10.6","6:55.916","12:12:46.944","75","153","15","","231","0",""
"82","28","Susan Cooper","Vet Female","1","1","6:47.919","10.6","6:57.718","12:12:48.746","74","142","15","","228","0",""
"83","14","Carrie Leighton","Senior Female","1","1","6:57.049","10.4","7:05.810","12:12:56.838","75","142","21","","214","0",""
"84","8","Katherine Cotter","Senior Female","1","1","7:00.507","10.3","7:08.047","12:12:59.075","76","146","21","","208","0",""
