"#","No.","Name","Category","Laps","Lead","Lap Tm","Spd","Elapsed Tm","Passing Tm","Hits","Strength","Noise","Photocell Time","Transponder","Backup Tx","Backup Passing Tm"
"1","","Category Start","U16 Male","","","","","0.000","14:47:04.700","","","","","","",""
"2","76","Christopher Hordon","U16 Male","0","0","","0.0","3.090","14:47:07.790","58","163","45","","276","0",""
"3","79","Logan Maclean","U16 Male","0","0","","0.0","3.128","14:47:07.828","63","155","45","","279","0",""
"4","80","Harry McGarvie","U16 Male","0","0","","0.0","3.311","14:47:08.011","62","167","45","","280","0",""
"5","73","Jay Doig","U16 Male","0","0","","0.0","3.534","14:47:08.234","68","144","45","","273","0",""
"6","75","Alasdair Hemesley","U16 Male","0","0","","0.0","3.557","14:47:08.257","64","157","45","","275","0",""
"7","74","Aiden Foulner","U16 Male","0","0","","0.0","3.927","14:47:08.627","70","147","45","","274","0",""
"8","72","Robert Brewer","U16 Male","0","0","","0.0","4.169","14:47:08.869","68","165","45","","272","0",""
"9","78","Lewis Kilgour","U16 Male","0","0","","0.0","4.192","14:47:08.892","64","161","45","","278","0",""
"10","","Category Start","U14 Male","","","","","0.000","14:47:25.072","","","","","","",""
"11","107","Kyle Thomas","U14 Male","0","0","","0.0","3.145","14:47:28.217","59","150","45","","307","0",""
"12","94","Callum Cooper","U14 Male","0","0","","0.0","3.194","14:47:28.266","54","151","45","","294","0",""
"13","93","Corran Carrick-Anderson","U14 Male","0","0","","0.0","3.242","14:47:28.314","60","149","45","","293","0",""
"14","92","Cameron Brown","U14 Male","0","0","","0.0","3.378","14:47:28.450","55","163","45","","292","0",""
"15","101","Cameron McGarvie","U14 Male","0","0","","0.0","3.620","14:47:28.692","56","153","45","","301","0",""
"16","91","Alexander Ball","U14 Male","0","0","","0.0","3.949","14:47:29.021","60","156","45","","291","0",""
"17","102","Louis Moore","U14 Male","0","0","","0.0","4.013","14:47:29.085","62","146","45","","302","0",""
"18","106","Gregor Robb","U14 Male","0","0","","0.0","4.125","14:47:29.197","63","158","45","","306","0",""
"19","100","Jamie Mackenzie","U14 Male","0","0","","0.0","4.317","14:47:29.389","61","148","45","","300","0",""
"20","109","Murray Wilson","U14 Male","0","0","","0.0","4.416","14:47:29.488","62","159","45","","309","0",""
"21","103","Andrew Oxley","U14 Male","0","0","","0.0","4.668","14:47:29.740","60","149","45","","303","0",""
