"#","No.","Name","Category","Laps","Lead","Lap Tm","Spd","Elapsed Tm","Passing Tm","Hits","Strength","Noise","Photocell Time","Transponder","Backup Tx","Backup Passing Tm"
"1","","Category Start","Senior","","","","","0.000","14:09:07.481","","","","","","",""
"2","439","Harry Johnston","Senior","0","0","","0.0","1:02.504","14:10:09.985","60","143","7","","439","0",""
"3","488","Calum Magowan","Senior","0","0","","0.0","1:02.718","14:10:10.199","62","151","7","","488","0",""
"4","424","Sean Clark","Senior","0","0","","0.0","1:03.304","14:10:10.785","64","139","5","","424","0",""
"5","447","Gary MacDonald","Senior","0","0","","0.0","1:04.164","14:10:11.645","64","131","5","","447","0",""
"6","444","David Lines","Senior","0","0","","0.0","1:04.372","14:10:11.853","66","130","5","","444","0",""
"7","482","Daniel Whitehead","Senior","0","0","","0.0","1:04.597","14:10:12.078","61","142","5","","482","0",""
"8","462","Craig Owen","Senior","0","0","","0.0","1:04.788","14:10:12.269","65","158","5","","462","0",""
"9","489","Ian Dunlop","Senior","0","0","","0.0","1:06.226","14:10:13.707","69","135","5","","489","0",""
"10","465","Addy Pope","Senior","0","0","","0.0","1:06.944","14:10:14.425","67","159","5","","465","0",""
"11","415","Chris Barr","Senior","0","0","","0.0","1:07.593","14:10:15.074","64","145","5","","415","0",""
"12","420","Paul Carmichael","Senior","0","0","","0.0","1:07.966","14:10:15.447","66","159","5","","420","0",""
"13","445","Scott Logan","Senior","0","0","","0.0","1:08.378","14:10:15.859","65","132","5","","445","0",""
"14","414","Wayne Barr","Senior","0","0","","0.0","1:08.806","14:10:16.287","60","146","5","","414","0",""
"15","407","Gareth Jones","Senior","0","0","","0.0","1:09.024","14:10:16.505","64","159","5","","407","0",""
"16","458","Gavin McDougall","Senior","0","0","","0.0","1:09.107","14:10:16.588","62","161","5","","458","0",""
"17","442","Simon Kirkness","Senior","0","0","","0.0","1:09.699","14:10:17.180","61","160","5","","442","0",""
"18","426","Stephen Couper","Senior","0","0","","0.0","1:10.051","14:10:17.532","64","161","5","","426","0",""
"19","446","Allan Love","Senior","0","0","","0.0","1:10.287","14:10:17.768","64","161","5","","446","0",""
"20","479","Neil Walker","Senior","0","0","","0.0","1:10.863","14:10:18.344","64","132","5","","479","0",""
"21","423","Allan Clark","Senior","0","0","","0.0","1:11.270","14:10:18.751","66","131","5","","423","0",""
"22","476","Steven Turbitt","Senior","0","0","","0.0","1:11.506","14:10:18.987","72","134","5","","476","0",""
"23","459","Michael Nicolson","Senior","0","0","","0.0","1:12.137","14:10:19.618","58","156","5","","459","0",""
"24","443","Euan Lindsay","Senior","0","0","","0.0","1:12.153","14:10:19.634","63","157","5","","443","0",""
