"#","No.","Name","Category","Laps","Lead","Lap Tm","Spd","Elapsed Tm","Passing Tm","Hits","Strength","Noise","Photocell Time","Transponder","Backup Tx","Backup Passing Tm"
"1","","Category Start","Senior","","","","","0.000","14:02:11.613","","","","","","",""
"2","294","Daniel Whitehead","Senior","0","0","","0.0","29.238","14:02:40.851","59","158","23","","494","0",""
"3","267","David Lines","Senior","0","0","","0.0","29.613","14:02:41.226","59","132","23","","467","0",""
"4","242","Sean Clark","Senior","0","0","","0.0","30.104","14:02:41.717","61","159","23","","442","0",""
"5","243","Allan Clark","Senior","0","0","","0.0","30.812","14:02:42.425","62","147","25","","443","0",""
"6","270","Gary MacDonald","Senior","0","0","","0.0","31.377","14:02:42.990","61","135","25","","470","0",""
"7","291","Neil Walker","Senior","0","0","","0.0","31.844","14:02:43.457","60","153","25","","491","0",""
"8","281","Addy Pope","Senior","0","0","","0.0","32.242","14:02:43.855","61","141","25","","481","0",""
"9","235","Wayne Barr","Senior","0","0","","0.0","32.430","14:02:44.043","63","129","25","","435","0",""
"10","266","Euan Lindsay","Senior","0","0","","0.0","32.941","14:02:44.554","61","134","25","","466","0",""
"11","295","Greg Williamson","Senior","0","0","","0.0","33.241","14:02:44.854","57","125","25","","495","0",""
"12","236","Chris Barr","Senior","0","0","","0.0","33.317","14:02:44.930","57","137","25","","436","0",""
"13","274","Eoghan Maguire","Senior","0","0","","0.0","33.510","14:02:45.123","58","129","25","","474","0",""
"14","252","Ian Dunlop","Senior","0","0","","0.0","33.680","14:02:45.293","60","128","25","","452","0",""
"15","264","Scott Kerr","Senior","0","0","","0.0","34.326","14:02:45.939","60","130","25","","464","0",""
"16","275","Chris Main","Senior","0","0","","0.0","34.752","14:02:46.365","62","156","25","","475","0",""
"17","237","John-Paul Baxter","Senior","0","0","","0.0","34.947","14:02:46.560","62","126","25","","437","0",""
"18","292","Adam Wallace","Senior","0","0","","0.0","35.466","14:02:47.079","57","132","25","","492","0",""
"19","269","Allan Love","Senior","0","0","","0.0","35.596","14:02:47.209","55","127","25","","469","0",""
"20","271","John Mackenzie","Senior","0","0","","0.0","35.878","14:02:47.491","60","128","25","","471","0",""
"21","265","Scott Lindsay","Senior","0","0","","0.0","36.062","14:02:47.675","57","133","25","","465","0",""
"22","289","Jordan Stronach","Senior","0","0","","0.0","36.442","14:02:48.055","62","127","25","","489","0",""
"23","249","Richard Currie","Senior","0","0","","0.0","36.744","14:02:48.357","56","135","25","","449","0",""
"24","279","Ewan Murray","Senior","0","0","","0.0","36.847","14:02:48.460","54","132","25","","479","0",""
"25","284","Andrew Scouller","Senior","0","0","","0.0","36.936","14:02:48.549","61","153","25","","484","0",""
"26","290","Stephen Walker","Senior","0","0","","0.0","37.457","14:02:49.070","62","137","25","","490","0",""
