"#","No.","Name","Category","Laps","Lead","Lap Tm","Spd","Elapsed Tm","Passing Tm","Hits","Strength","Noise","Photocell Time","Transponder","Backup Tx","Backup Passing Tm"
"1","","Category Start","Vet 40-49","","","","","0.000","12:35:51.234","","","","","","",""
"2","154","Crawford Carrick-Anderson","Vet 40-49","0","0","","0.0","28.828","12:36:20.062","60","134","17","","354","0",""
"3","179","Stephen Jackson","Vet 40-49","0","0","","0.0","30.259","12:36:21.493","58","131","22","","379","0",""
"4","229","Alister Watt","Vet 40-49","0","0","","0.0","30.866","12:36:22.100","57","151","22","","429","0",""
"5","157","Graeme Cross","Vet 40-49","0","0","","0.0","31.130","12:36:22.364","58","132","22","","357","0",""
"6","198","Gary McCrae","Vet 40-49","0","0","","0.0","31.849","12:36:23.083","58","129","22","","398","0",""
"7","189","David Lindsay","Vet 40-49","0","0","","0.0","32.105","12:36:23.339","58","127","22","","389","0",""
"8","172","Kevin Gault","Vet 40-49","0","0","","0.0","32.298","12:36:23.532","56","128","22","","372","0",""
"9","206","James Melville","Vet 40-49","0","0","","0.0","32.428","12:36:23.662","61","129","22","","406","0",""
"10","212","Franco Porco","Vet 40-49","0","0","","0.0","32.753","12:36:23.987","60","127","22","","412","0",""
"11","186","Alan Lamont","Vet 40-49","0","0","","0.0","33.159","12:36:24.393","54","123","22","","396","0",""
"12","197","John McCaffery","Vet 40-49","0","0","","0.0","33.162","12:36:24.396","58","127","22","","397","0",""
"13","155","Gordon Chisholm","Vet 40-49","0","0","","0.0","33.789","12:36:25.023","62","158","22","","355","0",""
"14","210","Michael Nally","Vet 40-49","0","0","","0.0","33.951","12:36:25.185","60","153","22","","410","0",""
"15","211","Steve Nicholson","Vet 40-49","0","0","","0.0","34.301","12:36:25.535","51","90","22","","411","0",""
"16","205","Iain McMullen","Vet 40-49","0","0","","0.0","34.367","12:36:25.601","55","120","22","","405","0",""
"17","148","Ronald Barker","Vet 40-49","0","0","","0.0","34.622","12:36:25.856","61","132","22","","348","0",""
"18","170","Martin Ferry","Vet 40-49","0","0","","0.0","34.767","12:36:26.001","58","134","22","","370","0",""
"19","171","Troy Fraske","Vet 40-49","0","0","","0.0","35.089","12:36:26.323","57","130","22","","371","0",""
"20","147","Malcolm Bain","Vet 40-49","0","0","","0.0","35.256","12:36:26.490","57","131","22","","347","0",""
"21","207","Fraser Moore","Vet 40-49","0","0","","0.0","35.652","12:36:26.886","59","129","22","","407","0",""
"22","221","Matthew Smith","Vet 40-49","0","0","","0.0","35.727","12:36:26.961","60","129","22","","421","0",""
"23","143","Mark Allen","Vet 40-49","0","0","","0.0","36.033","12:36:27.267","65","145","22","","343","0",""
"24","194","Keith Mailer","Vet 40-49","0","0","","0.0","36.126","12:36:27.360","59","130","22","","394","0",""
"25","231","Ally Wight","Vet 40-49","0","0","","0.0","36.532","12:36:27.766","58","128","22","","431","0",""
"26","180","Gary Johnstone","Vet 40-49","0","0","","0.0","36.595","12:36:27.829","56","152","22","","380","0",""
"27","196","Alan Maxwell","Vet 40-49","0","0","","0.0","36.609","12:36:27.843","50","133","22","","142","0",""
"28","144","Paul Anderson","Vet 40-49","0","0","","0.0","36.743","12:36:27.977","53","159","22","","344","0",""
"29","228","Fraser Waters","Vet 40-49","0","0","","0.0","36.847","12:36:28.081","58","135","22","","428","0",""
"30","202","Barry McGuire","Vet 40-49","0","0","","0.0","37.311","12:36:28.545","60","124","22","","402","0",""
"31","149","Jason Barnes","Vet 40-49","0","0","","0.0","37.341","12:36:28.575","57","126","22","","349","0",""
"32","216","George Roberts","Vet 40-49","0","0","","0.0","37.377","12:36:28.611","58","139","22","","416","0",""
"33","215","Stuart Punton","Vet 40-49","0","0","","0.0","37.799","12:36:29.033","56","134","22","","415","0",""
"34","183","Craig Kidd","Vet 40-49","0","0","","0.0","37.981","12:36:29.215","56","128","22","","383","0",""
"35","219","Dave Smeaton","Vet 40-49","0","0","","0.0","38.194","12:36:29.428","66","137","22","","419","0",""
"36","176","Paul Hutton","Vet 40-49","0","0","","0.0","38.319","12:36:29.553","61","136","22","","376","0",""
"37","201","Lindsay McGarvie","Vet 40-49","0","0","","0.0","38.700","12:36:29.934","60","128","22","","401","0",""
"38","162","Gordon Dickson","Vet 40-49","0","0","","0.0","38.830","12:36:30.064","60","143","22","","362","0",""
"39","156","Malcolm Cooper","Vet 40-49","0","0","","0.0","39.260","12:36:30.494","61","135","22","","356","0",""
"40","213","Calvin Price","Vet 40-49","0","0","","0.0","39.734","12:36:30.968","54","147","22","","413","0",""
"41","178","Andrew Isherwood","Vet 40-49","0","0","","0.0","39.974","12:36:31.208","59","130","22","","378","0",""
"42","224","Andrew Strathdee","Vet 40-49","0","0","","0.0","39.984","12:36:31.218","55","131","22","","424","0",""
"43","163","Bryan Donnelly","Vet 40-49","0","0","","0.0","40.082","12:36:31.316","59","131","22","","363","0",""
"44","192","Iain Macleod","Vet 40-49","0","0","","0.0","40.488","12:36:31.722","61","130","22","","392","0",""
