"#","No.","Name","Category","Laps","Lead","Lap Tm","Spd","Elapsed Tm","Passing Tm","Hits","Strength","Noise","Photocell Time","Transponder","Backup Tx","Backup Passing Tm"
"1","","Category Start","Junior Male","","","","","0.000","11:39:34.790","","","","","","",""
"2","70","Conner Johnstone","Junior Male","0","0","","0.0","29.128","11:40:03.918","62","133","11","","270","0",""
"3","","Category Start","Senior Female","","","","","0.000","11:40:04.562","","","","","","",""
"4","","Category Start","Junior Female","","","","","0.000","11:40:04.562","","","","","","",""
"5","68","Craig Gow","Junior Male","0","0","","0.0","29.873","11:40:04.663","62","130","11","","268","0",""
"6","71","John MacLeod","Junior Male","0","0","","0.0","31.900","11:40:06.690","63","130","11","","271","0",""
"7","72","Andrew Merry","Junior Male","0","0","","0.0","33.179","11:40:07.969","61","131","11","","272","0",""
"8","","Category Start","Vet Female","","","","","0.000","11:40:31.666","","","","","","",""
"9","84","Lucy Grant","Senior Female","0","0","","0.0","28.414","11:40:32.976","58","134","11","","284","0",""
"10","77","Jane Barr","Senior Female","0","0","","0.0","30.379","11:40:34.941","64","128","11","","277","0",""
"11","97","Madeleine Robinson","Senior Female","0","0","","0.0","31.193","11:40:35.755","64","160","11","","297","0",""
"12","82","Anne Ewing","Senior Female","0","0","","0.0","32.278","11:40:36.840","61","133","11","","282","0",""
"13","83","Ruth Fraser-Moodie","Senior Female","0","0","","0.0","32.886","11:40:37.448","61","148","11","","283","0",""
"14","74","Eleanor Strathdee","Junior Female","0","0","","0.0","32.904","11:40:37.466","59","133","11","","274","0",""
"15","75","Elizabeth Adams","Senior Female","0","0","","0.0","35.632","11:40:40.194","66","144","11","","275","0",""
"16","78","Joanne Baxter","Senior Female","0","0","","0.0","36.706","11:40:41.268","66","151","11","","278","0",""
"17","103","Amanda Tweedie","Senior Female","0","0","","0.0","37.328","11:40:41.890","61","138","11","","303","0",""
"18","94","Margaret Normand","Senior Female","0","0","","0.0","38.275","11:40:42.837","53","130","11","","294","0",""
"19","91","Laura Murray","Senior Female","0","0","","0.0","40.638","11:40:45.200","69","136","11","","291","0",""
"20","90","Ellen Murgitroyd","Senior Female","0","0","","0.0","45.243","11:40:49.805","70","131","11","","290","0",""
"21","89","Marie Meldrum","Vet Female","0","0","","0.0","38.807","11:41:10.473","65","162","11","","289","0",""
"22","79","Brenda Callander","Vet Female","0","0","","0.0","39.016","11:41:10.682","62","138","11","","279","0",""
"23","85","Caroline Harvey","Vet Female","0","0","","0.0","40.098","11:41:11.764","70","128","11","","285","0",""
"24","80","Anne Chisholm","Vet Female","0","0","","0.0","40.364","11:41:12.030","68","143","11","","280","0",""
"25","101","Elisa Smith","Vet Female","0","0","","0.0","41.015","11:41:12.681","67","132","11","","301","0",""
"26","95","Nienke Oostra","Vet Female","0","0","","0.0","41.781","11:41:13.447","66","143","11","","295","0",""
"27","86","Catherine Logan","Vet Female","0","0","","0.0","42.412","11:41:14.078","66","146","11","","286","0",""
"28","105","Cathy Wyse","Vet Female","0","0","","0.0","42.892","11:41:14.558","68","132","11","","305","0",""
"29","100","Lorna Sloan","Vet Female","0","0","","0.0","43.279","11:41:14.945","65","148","11","","300","0",""
"30","104","Fiona Walker","Vet Female","0","0","","0.0","44.770","11:41:16.436","66","140","11","","304","0",""
"31","102","Ainsley Turbitt","Vet Female","0","0","","0.0","45.116","11:41:16.782","67","131","11","","302","0",""
"32","87","Caroline Lukes","Vet Female","0","0","","0.0","45.552","11:41:17.218","70","127","11","","287","0",""
"33","92","Christine Myerscough","Vet Female","0","0","","0.0","50.151","11:41:21.817","74","136","11","","292","0",""
"34","","Category Start","Vet 50+","","","","","0.000","11:41:31.741","","","","","","",""
"35","121","Kenny Kentley","Vet 50+","0","0","","0.0","32.388","11:42:04.129","64","130","14","","321","0",""
"36","108","Mark Barnett","Vet 50+","0","0","","0.0","32.896","11:42:04.637","63","132","14","","308","0",""
"37","114","Malcolm Dunlop","Vet 50+","0","0","","0.0","33.955","11:42:05.696","62","153","14","","314","0",""
"38","132","Brendan Roe","Vet 50+","0","0","","0.0","33.984","11:42:05.725","61","129","14","","332","0",""
"39","112","Alistair Dow","Vet 50+","0","0","","0.0","34.559","11:42:06.300","63","141","14","","312","0",""
