"#","No.","Name","Category","Laps","Lead","Lap Tm","Spd","Elapsed Tm","Passing Tm","Hits","Strength","Noise","Photocell Time","Transponder","Backup Tx","Backup Passing Tm"
"1","","Category Start","Senior","","","","","0.000","13:41:04.916","","","","","","",""
"2","340","Harry Johnston","Senior","1","1","","0.0","8:05.780","13:49:10.696","59","134","29","","340","0",""
"3","321","Allan Clark","Senior","1","1","","0.0","8:16.632","13:49:21.548","57","137","30","","321","0",""
"4","365","Michael Nicolson","Senior","1","1","","0.0","8:19.189","13:49:24.105","60","134","29","","365","0",""
"5","390","Neil Walker","Senior","1","1","","0.0","8:35.827","13:49:40.743","57","141","30","","390","0",""
"6","342","Gareth Jones","Senior","1","1","","0.0","8:37.902","13:49:42.818","62","154","31","","342","0",""
"7","330","Charles Fletcher","Senior","1","1","","0.0","8:38.959","13:49:43.875","59","140","31","","330","0",""
"8","322","Stephen Couper","Senior","1","1","","0.0","8:40.279","13:49:45.195","56","131","31","","322","0",""
"9","327","Ian Dunlop","Senior","1","1","","0.0","8:41.023","13:49:45.939","61","159","31","","327","0",""
"10","348","Scott Logan","Senior","1","1","","0.0","8:47.473","13:49:52.389","55","131","33","","348","0",""
"11","310","Wayne Barr","Senior","1","1","","0.0","8:47.778","13:49:52.694","60","131","33","","310","0",""
"12","364","Graeme Neagle","Senior","1","1","","0.0","8:58.802","13:50:03.718","58","132","31","","364","0",""
"13","369","Tom Owens","Senior","1","1","","0.0","8:59.334","13:50:04.250","60","137","31","","369","0",""
"14","318","Jamie Carchrie","Senior","1","1","","0.0","9:05.111","13:50:10.027","56","155","31","","318","0",""
"15","352","John Mackenzie","Senior","1","1","","0.0","9:05.318","13:50:10.234","55","134","31","","352","0",""
"16","370","Marcus Peabody","Senior","1","1","","0.0","9:08.772","13:50:13.688","62","159","30","","370","0",""
"17","316","Jim Cameron","Senior","1","1","","0.0","9:15.604","13:50:20.520","65","159","28","","316","0",""
"18","383","Dominic Sharkey","Senior","1","1","","0.0","9:15.943","13:50:20.859","62","133","28","","383","0",""
"19","319","Paul Carmichael","Senior","1","1","","0.0","9:16.946","13:50:21.862","61","152","28","","319","0",""
"20","338","Chris Hinds","Senior","1","1","","0.0","9:17.510","13:50:22.426","52","129","28","","338","0",""
"21","317","Kevin Cannon","Senior","1","1","","0.0","9:25.170","13:50:30.086","62","156","28","","317","0",""
"22","381","Colin Sergeant","Senior","1","1","","0.0","9:26.285","13:50:31.201","62","142","28","","381","0",""
"23","389","Stephen Walker","Senior","1","1","","0.0","9:30.968","13:50:35.884","66","138","28","","389","0",""
"24","354","Chris Main","Senior","1","1","","0.0","9:34.762","13:50:39.678","60","142","28","","354","0",""
"25","328","Simon Fairfull","Senior","1","1","","0.0","9:37.092","13:50:42.008","62","136","28","","328","0",""
"26","391","Adam Wallace","Senior","1","1","","0.0","9:38.094","13:50:43.010","57","131","28","","391","0",""
"27","388","Steven Turbitt","Senior","1","1","","0.0","9:41.132","13:50:46.048","63","160","28","","388","0",""
"28","314","Tom Blankenstein","Senior","1","1","","0.0","9:41.993","13:50:46.909","56","132","28","","314","0",""
"29","351","Ian Macgregor","Senior","1","1","","0.0","9:43.207","13:50:48.123","57","131","28","","351","0",""
"30","371","Owen Philipson","Senior","1","1","","0.0","9:48.832","13:50:53.748","64","133","29","","371","0",""
"31","329","Karl Farmer","Senior","1","1","","0.0","9:49.584","13:50:54.500","61","125","29","","329","0",""
"32","362","Ewan Mulhern","Senior","1","1","","0.0","9:53.214","13:50:58.130","65","145","29","","362","0",""
"33","386","Finlay Strivens","Senior","1","1","","0.0","9:56.984","13:51:01.900","67","134","26","","386","0",""
"34","346","Euan Lindsay","Senior","1","1","","0.0","10:04.554","13:51:09.470","69","135","28","","346","0",""
"35","377","Alex Robertson","Senior","1","1","","0.0","10:05.974","13:51:10.890","60","132","28","","377","0",""
"36","339","Bryan Hutton","Senior","1","1","","0.0","10:08.760","13:51:13.676","68","130","28","","339","0",""
"37","366","Sean Noon","Senior","1","1","","0.0","10:12.129","13:51:17.045","58","132","28","","366","0",""
"38","380","Andrew Scouller","Senior","1","1","","0.0","10:12.163","13:51:17.079","61","161","28","","380","0",""
"39","367","Chris ONeill","Senior","1","1","","0.0","10:13.334","13:51:18.250","62","131","28","","367","0",""
"40","361","James Merry","Senior","1","1","","0.0","10:13.467","13:51:18.383","56","158","28","","361","0",""
"41","363","Ewan Murray","Senior","1","1","","0.0","10:14.490","13:51:19.406","63","139","28","","363","0",""
"42","379","Graeme Scott","Senior","1","1","","0.0","10:16.994","13:51:21.910","59","158","28","","379","0",""
"43","313","Andrew Birkett","Senior","1","1","","0.0","10:17.300","13:51:22.216","61","132","28","","313","0",""
"44","376","Calum Ridout","Senior","1","1","","0.0","10:34.642","13:51:39.558","66","153","28","","376","0",""
"45","341","Ross Johnstone","Senior","1","1","","0.0","10:39.684","13:51:44.600","61","139","27","","341","0",""
"46","399","Saul Ayton","Senior","1","1","","0.0","10:43.475","13:51:48.391","61","139","27","","399","0",""
"47","334","Davie Graham","Senior","1","1","","0.0","10:43.690","13:51:48.606","66","152","27","","334","0",""
"48","373","Leo Plaster","Senior","1","1","","0.0","10:44.948","13:51:49.864","65","163","27","","373","0",""
"49","325","Gordon Dalglish","Senior","1","1","","0.0","10:53.470","13:51:58.386","62","131","28","","325","0",""
"50","353","Calum Magowan","Senior","1","1","","0.0","10:53.542","13:51:58.458","59","135","28","","353","0",""
"51","323","Russell Craig","Senior","1","1","","0.0","11:04.172","13:52:09.088","60","147","27","","323","0",""
"52","356","John McCracken","Senior","1","1","","0.0","11:04.512","13:52:09.428","66","168","27","","356","0",""
"53","368","Aaron Outhwaite","Senior","1","1","","0.0","11:04.656","13:52:09.572","64","152","27","","368","0",""
