"#","No.","Name","Category","Laps","Lead","Lap Tm","Spd","Elapsed Tm","Passing Tm","Hits","Strength","Noise","Photocell Time","Transponder","Backup Tx","Backup Passing Tm"
"1","","Category Start","Vet 40-49","","","","","0.000","12:40:29.138","","","","","","",""
"2","84","Gary McCrae","Vet 40-49","1","1","","0.0","8:05.485","12:48:34.623","65","160","14","","084","0",""
"3","59","Stephen Jackson","Vet 40-49","1","1","","0.0","8:07.655","12:48:36.793","64","132","14","","059","0",""
"4","43","Hans Forhaug","Vet 40-49","1","1","","0.0","8:09.860","12:48:38.998","59","125","14","","043","0",""
"5","21","Crawford Carrick-Anderson","Vet 40-49","1","1","","0.0","8:14.556","12:48:43.694","64","158","12","","021","0",""
"6","28","Graeme Cross","Vet 40-49","1","1","","0.0","8:18.525","12:48:47.663","59","127","12","","028","0",""
"7","81","John McCaffery","Vet 40-49","1","1","","0.0","8:36.194","12:49:05.332","65","141","14","","081","0",""
"8","92","James Melville","Vet 40-49","1","1","","0.0","8:36.630","12:49:05.768","66","130","14","","092","0",""
"9","126","Alister Watt","Vet 40-49","1","1","","0.0","8:38.978","12:49:08.116","69","144","16","","126","0",""
"10","100","Steve Nicholson","Vet 40-49","1","1","","0.0","8:44.435","12:49:13.573","70","135","15","","100","0",""
"11","99","Michael Nally","Vet 40-49","1","1","","0.0","8:46.698","12:49:15.836","67","154","15","","099","0",""
"12","88","Barry McGuire","Vet 40-49","1","1","","0.0","8:55.876","12:49:25.014","60","130","11","","088","0",""
"13","23","Gordon Chisholm","Vet 40-49","1","1","","0.0","8:56.903","12:49:26.041","64","164","11","","023","0",""
"14","9","Malcolm Bain","Vet 40-49","1","1","","0.0","8:58.020","12:49:27.158","68","141","11","","009","0",""
"15","41","Martin Ferry","Vet 40-49","1","1","","0.0","8:59.372","12:49:28.510","66","133","11","","041","0",""
"16","130","John Woodrow","Vet 40-49","1","1","","0.0","9:00.055","12:49:29.193","63","159","11","","130","0",""
"17","65","Craig Kidd","Vet 40-49","1","1","","0.0","9:00.355","12:49:29.493","59","136","11","","065","0",""
"18","109","George Roberts","Vet 40-49","1","1","","0.0","9:00.531","12:49:29.669","59","130","11","","109","0",""
"19","80","Alan Maxwell","Vet 40-49","1","1","","0.0","9:00.707","12:49:29.845","62","128","11","","080","0",""
