"#","No.","Name","Category","Laps","Lead","Lap Tm","Spd","Elapsed Tm","Passing Tm","Hits","Strength","Noise","Photocell Time","Transponder","Backup Tx","Backup Passing Tm"
"1","","Category Start","Junior Male","","","","","0.000","11:36:29.765","","","","","","",""
"2","","Category Start","Vet Female","","","","","0.000","11:38:01.292","","","","","","",""
"3","","Category Start","Senior Female","","","","","0.000","11:38:01.292","","","","","","",""
"4","","Category Start","Junior Female","","","","","0.000","11:38:01.292","","","","","","",""
"5","","Category Start","Vet 50+","","","","","0.000","11:39:04.225","","","","","","",""
"6","197","Conner Johnstone","Junior Male","1","1","","0.0","8:05.183","11:44:34.948","63","129","24","","197","0",""
"7","199","John MacLeod","Junior Male","1","1","","0.0","8:12.850","11:44:42.615","61","128","22","","199","0",""
"8","194","Douglas Carchrie","Junior Male","1","1","","0.0","8:20.016","11:44:49.781","63","130","23","","194","0",""
"9","201","Ross McMurtrie","Junior Male","1","1","","0.0","8:47.404","11:45:17.169","63","143","26","","201","0",""
"10","198","Calum Kennedy","Junior Male","1","1","","0.0","9:05.452","11:45:35.217","66","152","18","","198","0",""
"11","196","Innes Johnston","Junior Male","1","1","","0.0","9:43.691","11:46:13.456","61","142","18","","196","0",""
"12","209","Jane Barr","Senior Female","1","1","","0.0","8:54.034","11:46:55.326","63","132","23","","209","0",""
"13","220","Lucy Grant","Senior Female","1","1","","0.0","8:54.320","11:46:55.612","63","131","23","","220","0",""
"14","229","Eileen Roe","Senior Female","1","1","","0.0","8:54.793","11:46:56.085","70","130","23","","229","0",""
"15","228","Madeleine Robinson","Senior Female","1","1","","0.0","8:55.431","11:46:56.723","63","131","23","","228","0",""
"16","218","Anne Ewing","Senior Female","1","1","","0.0","9:30.950","11:47:32.242","67","131","31","","218","0",""
"17","219","Ruth Fraser-Moodie","Senior Female","1","1","","0.0","9:33.635","11:47:34.927","64","136","32","","219","0",""
"18","208","Erika Allen","Senior Female","1","1","","0.0","9:40.744","11:47:42.036","63","133","28","","208","0",""
"19","203","Christopher Scott","Junior Male","1","1","","0.0","11:12.804","11:47:42.569","58","129","28","","203","0",""
"20","211","Louise Borthwick","Senior Female","1","1","","0.0","9:41.713","11:47:43.005","60","136","31","","211","0",""
"21","278","Kenny Kentley","Vet 50+","1","1","","0.0","8:44.472","11:47:48.697","62","135","35","","278","0",""
"22","207","Elizabeth Adams","Senior Female","1","1","","0.0","9:49.943","11:47:51.235","60","143","35","","207","0",""
"23","295","Brendan Roe","Vet 50+","1","1","","0.0","8:48.890","11:47:53.115","62","132","35","","295","0",""
"24","206","Louisa Watt","Junior Female","1","1","","0.0","9:55.668","11:47:56.960","62","144","35","","206","0",""
"25","259","Mark Barnett","Vet 50+","1","1","","0.0","8:53.469","11:47:57.694","59","131","35","","259","0",""
"26","235","Brenda Callander","Vet Female","1","1","","0.0","9:56.770","11:47:58.062","62","145","35","","235","0",""
"27","260","Gary Beall","Vet 50+","1","1","","0.0","8:59.432","11:48:03.657","64","135","32","","260","0",""
"28","205","Eleanor Strathdee","Junior Female","1","1","","0.0","10:03.417","11:48:04.709","64","136","32","","205","0",""
"29","213","Kate Carmichael","Senior Female","1","1","","0.0","10:05.981","11:48:07.273","64","139","32","","213","0",""
"30","266","Alistair Dow","Vet 50+","1","1","","0.0","9:05.766","11:48:09.991","64","137","27","","266","0",""
"31","238","Caroline Harvey","Vet Female","1","1","","0.0","10:09.466","11:48:10.758","66","135","27","","238","0",""
"32","232","Amanda Tweedie","Senior Female","1","1","","0.0","10:10.184","11:48:11.476","68","143","27","","232","0",""
"33","274","Gregor Grant","Vet 50+","1","1","","0.0","9:18.394","11:48:22.619","63","151","30","","274","0",""
"34","227","Corrie Osborne","Senior Female","1","1","","0.0","10:21.924","11:48:23.216","64","132","30","","227","0",""
"35","200","Jack McCauig","Junior Male","1","1","","0.0","11:54.597","11:48:24.362","65","149","30","","200","0",""
"36","223","Emma Lamont","Senior Female","1","1","","0.0","10:24.159","11:48:25.451","67","149","30","","223","0",""
"37","264","Stephen Clayton","Vet 50+","1","1","","0.0","9:21.299","11:48:25.524","54","142","30","","264","0",""
"38","301","Colin Shearer","Vet 50+","1","1","","0.0","9:23.919","11:48:28.144","64","155","30","","301","0",""
"39","309","Malcolm Dunlop","Vet 50+","1","1","","0.0","9:28.406","11:48:32.631","66","151","30","","309","0",""
"40","237","Janet Erskine","Vet Female","1","1","","0.0","10:32.894","11:48:34.186","57","128","31","","237","0",""
"41","217","Elizabeth Clayton","Vet Female","1","1","","0.0","10:33.846","11:48:35.138","65","166","31","","217","0",""
"42","269","Colin Fergus","Vet 50+","1","1","","0.0","9:31.046","11:48:35.271","60","133","31","","269","0",""
"43","261","Robert Bloor","Vet 50+","1","1","","0.0","9:32.012","11:48:36.237","63","161","31","","261","0",""
"44","212","Morven Brown","Senior Female","1","1","","0.0","10:38.016","11:48:39.308","65","130","27","","212","0",""
"45","242","Marie Meldrum","Vet Female","1","1","","0.0","10:41.793","11:48:43.085","64","147","27","","242","0",""
"46","234","Lindsay Branston","Vet Female","1","1","","0.0","10:43.672","11:48:44.964","69","140","28","","234","0",""
"47","226","Margaret Normand","Senior Female","1","1","","0.0","10:51.409","11:48:52.701","65","132","28","","226","0",""
"48","204","Jess Millar","Junior Female","1","1","","0.0","10:55.596","11:48:56.888","63","141","21","","204","0",""
"49","252","Anne Chisholm","Vet Female","1","1","","0.0","10:56.949","11:48:58.241","70","139","21","","252","0",""
"50","247","Vicky Strange","Vet Female","1","1","","0.0","11:04.786","11:49:06.078","69","136","25","","247","0",""
"51","245","Lorna Sloan","Vet Female","1","1","","0.0","11:13.620","11:49:14.912","62","147","28","","245","0",""
"52","249","Ainsley Turbitt","Vet Female","1","1","","0.0","11:13.929","11:49:15.221","60","163","28","","249","0",""
"53","244","Denise Schofield","Vet Female","1","1","","0.0","11:14.886","11:49:16.178","60","138","28","","244","0",""
"54","308","Willie Webster","Vet 50+","1","1","","0.0","10:13.938","11:49:18.163","67","131","28","","308","0",""
"55","257","David Anderson","Vet 50+","1","1","","0.0","10:14.915","11:49:19.140","61","131","28","","257","0",""
"56","287","Alan Mclean","Vet 50+","1","1","","0.0","10:14.917","11:49:19.142","63","132","28","","287","0",""
"57","271","Jim Foulis","Vet 50+","1","1","","0.0","10:15.619","11:49:19.844","66","127","28","","271","0",""
"58","293","Howard Perkins","Vet 50+","1","1","","0.0","10:16.720","11:49:20.945","63","129","28","","293","0",""
"59","304","Fraser Tait","Vet 50+","1","1","","0.0","10:17.299","11:49:21.524","68","137","28","","304","0",""
"60","273","Michael Giles","Vet 50+","1","1","","0.0","10:19.559","11:49:23.784","60","130","28","","273","0",""
"61","300","Alan Shanley","Vet 50+","1","1","","0.0","10:20.858","11:49:25.083","63","155","33","","300","0",""
"62","248","Sian Tovey","Vet Female","1","1","","0.0","11:24.960","11:49:26.252","65","143","33","","248","0",""
"63","289","Russell Mowat","Vet 50+","1","1","","0.0","10:23.577","11:49:27.802","72","163","33","","289","0",""
"64","241","Jen Mason","Vet Female","1","1","","0.0","11:29.726","11:49:31.018","68","140","31","","241","0",""
"65","246","Elisa Smith","Vet Female","1","1","","0.0","11:32.676","11:49:33.968","66","133","31","","246","0",""
"66","288","Ronald Mill","Vet 50+","1","1","","0.0","10:30.076","11:49:34.301","68","143","27","","288","0",""
"67","236","Diane Clayton-Chisholm","Vet Female","1","1","","0.0","11:33.432","11:49:34.724","66","136","27","","236","0",""
"68","283","Alexander McAllister","Vet 50+","1","1","","0.0","10:30.843","11:49:35.068","71","141","27","","283","0",""
"69","216","Ailsa Curtis","Senior Female","1","1","","0.0","11:40.910","11:49:42.202","74","149","22","","216","0",""
"70","267","Gordon Scott","Vet 50+","1","1","","0.0","10:41.470","11:49:45.695","70","136","21","","267","0",""
"71","254","Catherine Logan","Vet Female","1","1","","0.0","11:49.152","11:49:50.444","73","151","23","","254","0",""
"72","221","Katia Hiersemenzel","Senior Female","1","1","","0.0","11:51.534","11:49:52.826","72","135","23","","221","0",""
"73","224","Emma MacLaren","Senior Female","1","1","","0.0","11:53.358","11:49:54.650","65","142","23","","224","0",""
"74","210","Joanne Baxter","Senior Female","1","1","","0.0","11:53.821","11:49:55.113","67","148","23","","210","0",""
"75","262","Andrew Bothwell","Vet 50+","1","1","","0.0","10:51.012","11:49:55.237","64","133","23","","262","0",""
"76","306","John Walker","Vet 50+","1","1","","0.0","10:51.549","11:49:55.774","68","132","23","","306","0",""
"77","303","Colin Sutherland","Vet 50+","1","1","","0.0","10:52.459","11:49:56.684","67","147","23","","303","0",""
"78","279","Marshall Kingett","Vet 50+","1","1","","0.0","10:53.165","11:49:57.390","66","146","23","","279","0",""
"79","393","William Wilson","Vet 50+","1","1","","0.0","10:53.874","11:49:58.099","71","142","23","","393","0",""
"80","281","James MacLaren","Vet 50+","1","1","","0.0","10:58.123","11:50:02.348","69","154","23","","281","0",""
"81","231","Aileen Tan","Senior Female","1","1","","0.0","12:02.708","11:50:04.000","68","135","23","","231","0",""
"82","277","James Hunter","Vet 50+","1","1","","0.0","11:02.584","11:50:06.809","63","127","24","","277","0",""
"83","268","Robert Earp","Vet 50+","1","1","","0.0","11:04.063","11:50:08.288","59","144","24","","268","0",""
"84","291","John Newton","Vet 50+","1","1","","0.0","11:04.610","11:50:08.835","65","134","24","","291","0",""
"85","253","Marion Kennedy","Vet Female","1","1","","0.0","12:07.952","11:50:09.244","71","149","24","","253","0",""
"86","275","Stuart Green","Vet 50+","1","1","","0.0","11:08.407","11:50:12.632","64","132","23","","275","0",""
"87","282","Andrew Martin","Vet 50+","1","1","","0.0","11:09.753","11:50:13.978","64","132","23","","282","0",""
"88","225","Katie Newlands","Senior Female","1","1","","0.0","12:14.660","11:50:15.952","72","136","25","","225","0",""
"89","302","Gary Smith","Vet 50+","1","1","","0.0","11:16.560","11:50:20.785","71","137","28","","302","0",""
"90","256","Jane Sargent","Vet Female","1","1","","0.0","12:27.190","11:50:28.482","69","151","32","","256","0",""
"91","285","James Mccartney","Vet 50+","1","1","","0.0","11:24.680","11:50:28.905","67","143","32","","285","0",""
"92","286","Sean McDonald","Vet 50+","1","1","","0.0","11:25.744","11:50:29.969","76","145","32","","286","0",""
"93","292","James OKane","Vet 50+","1","1","","0.0","11:36.135","11:50:40.360","68","149","21","","292","0",""
"94","222","Nicola Johnson","Senior Female","1","1","","0.0","12:41.908","11:50:43.200","66","136","21","","222","0",""
"95","400","Linda Buchanan","Vet Female","1","1","","0.0","12:44.408","11:50:45.700","71","166","24","","400","0",""
"96","270","Mike Ferguson","Vet 50+","1","1","","0.0","11:42.184","11:50:46.409","68","149","24","","270","0",""
"97","290","John Myerscough","Vet 50+","1","1","","0.0","11:54.510","11:50:58.735","75","162","30","","290","0",""
"98","265","Robert Clements","Vet 50+","1","1","","0.0","11:55.829","11:51:00.054","72","133","30","","265","0",""
"99","296","Alistair Ross","Vet 50+","1","1","","0.0","12:17.054","11:51:21.279","68","128","24","","296","0",""
"100","263","Ivor Campbell","Vet 50+","1","1","","0.0","12:27.198","11:51:31.423","69","138","25","","263","0",""
"101","233","Gillian Anderson","Vet Female","1","1","","0.0","13:45.635","11:51:46.927","72","141","24","","233","0",""
"102","255","Christine Myerscough","Vet Female","1","1","","0.0","13:47.443","11:51:48.735","79","135","24","","255","0",""
