"#","No.","Name","Category","Laps","Lead","Lap Tm","Spd","Elapsed Tm","Passing Tm","Hits","Strength","Noise","Photocell Time","Transponder","Backup Tx","Backup Passing Tm"
"1","","Category Start","Senior","","","","","0.000","14:04:21.437","","","","","","",""
"2","174","David Lines","Senior","1","1","","0.0","6:05.200","14:10:26.637","78","150","19","","374","0",""
"3","175","Gary MacDonald","Senior","1","1","","0.0","6:12.938","14:10:34.375","83","150","21","","375","0",""
"4","187","Neil Walker","Senior","1","1","","0.0","6:25.807","14:10:47.244","82","151","21","","387","0",""
"5","161","Wayne Barr","Senior","1","1","","0.0","6:33.748","14:10:55.185","77","148","21","","361","0",""
"6","189","Daniel Whitehead","Senior","1","1","","0.0","6:34.497","14:10:55.934","83","165","21","","389","0",""
"7","173","Scott Lindsay","Senior","1","1","","0.0","6:35.760","14:10:57.197","80","151","21","","373","0",""
"8","168","Ian Dunlop","Senior","1","1","","0.0","6:39.236","14:11:00.673","79","171","21","","368","0",""
"9","185","Steven Turbitt","Senior","1","1","","0.0","6:40.821","14:11:02.258","78","150","19","","385","0",""
"10","166","Graeme Cross","Senior","1","1","","0.0","6:49.302","14:11:10.739","82","152","19","","366","0",""
"11","??","LC-04372","","0","0","","0.0","","14:11:10.751","76","150","19","","323","0",""
"12","177","Eoghan Maguire","Senior","1","1","","0.0","6:55.955","14:11:17.392","83","162","21","","377","0",""
"13","181","Tom Owens","Senior","1","1","","0.0","6:57.745","14:11:19.182","73","149","21","","381","0",""
"14","176","John Mackenzie","Senior","1","1","","0.0","7:01.015","14:11:22.452","83","156","17","","376","0",""
"15","188","Adam Wallace","Senior","1","1","","0.0","7:07.546","14:11:28.983","82","167","23","","388","0",""
"16","165","Jim Cameron","Senior","1","1","","0.0","7:10.249","14:11:31.686","78","173","24","","365","0",""
"17","186","Stephen Walker","Senior","1","1","","0.0","7:11.378","14:11:32.815","83","156","24","","386","0",""
"18","192","Brian Yates","Senior","1","1","","0.0","7:13.717","14:11:35.154","82","148","24","","392","0",""
"19","170","Craig Hamilton","Senior","1","1","","0.0","7:15.070","14:11:36.507","81","149","24","","370","0",""
"20","191","Barry Wilson","Senior","1","1","","0.0","7:15.858","14:11:37.295","81","159","24","","391","0",""
"21","164","Tom Blankenstein","Senior","1","1","","0.0","7:18.848","14:11:40.285","83","154","24","","364","0",""
"22","169","Simon Fairfull","Senior","1","1","","0.0","7:25.811","14:11:47.248","82","158","16","","369","0",""
"23","184","Mark Shilton","Senior","1","1","","0.0","7:26.944","14:11:48.381","82","150","16","","384","0",""
"24","178","Ewan Mulhern","Senior","1","1","","0.0","7:31.316","14:11:52.753","84","153","14","","378","0",""
"25","194","Tom Rowntree","Senior","1","1","","0.0","7:32.842","14:11:54.279","82","148","14","","394","0",""
"26","163","John-Paul Baxter","Senior","1","1","","0.0","7:41.121","14:12:02.558","81","158","18","","363","0",""
"27","182","Addy Pope","Senior","1","1","","0.0","7:54.822","14:12:16.259","83","155","20","","382","0",""
"28","180","Aaron Outhwaite","Senior","1","1","","0.0","9:02.080","14:13:23.517","82","157","20","","380","0",""
"29","193","Ross Young","Senior","1","1","","0.0","9:17.843","14:13:39.280","84","161","20","","393","0",""
"30","162","Chris Barr","Senior","1","1","","0.0","9:42.487","14:14:03.924","83","155","15","","362","0",""
"31","172","Andrew Leitch","Senior","1","1","","0.0","10:47.758","14:15:09.195","83","166","24","","372","0",""
"32","174","David Lines","Senior","2","2","6:21.630","13.2","12:26.830","14:16:48.267","79","151","19","","374","0",""
