"#","No.","Name","Category","Laps","Lead","Lap Tm","Spd","Elapsed Tm","Passing Tm","Hits","Strength","Noise","Photocell Time","Transponder","Backup Tx","Backup Passing Tm"
"1","","Category Start","Vet 40-49","","","","","0.000","13:05:18.653","","","","","","",""
"2","119","Crawford Carrick-Anderson","Vet 40-49","1","1","","0.0","6:14.927","13:11:33.580","77","155","10","","319","0",""
"3","132","Stephen Jackson","Vet 40-49","1","1","","0.0","6:17.430","13:11:36.083","83","149","10","","332","0",""
"4","129","Hans Forhaug","Vet 40-49","1","1","","0.0","6:26.637","13:11:45.290","79","147","20","","329","0",""
"5","146","Michael Nally","Vet 40-49","1","1","","0.0","6:28.373","13:11:47.026","82","151","20","","346","0",""
"6","??","SN-32666","","0","0","","0.0","","13:11:48.163","80","153","20","","366","0",""
"7","123","Graeme Cross","Vet 40-49","1","1","","0.0","6:29.521","13:11:48.174","77","150","20","","323","0",""
"8","143","James Melville","Vet 40-49","1","1","","0.0","6:30.582","13:11:49.235","80","155","20","","343","0",""
"9","116","Ronald Barker","Vet 40-49","1","1","","0.0","6:40.684","13:11:59.337","83","152","15","","316","0",""
"10","142","Iain McMullen","Vet 40-49","1","1","","0.0","6:41.515","13:12:00.168","82","150","15","","342","0",""
"11","148","Malcolm Paterson","Vet 40-49","1","1","","0.0","6:46.213","13:12:04.866","73","148","13","","348","0",""
"12","147","Steve Nicholson","Vet 40-49","1","1","","0.0","6:47.416","13:12:06.069","80","149","13","","347","0",""
"13","144","Fraser Moore","Vet 40-49","1","1","","0.0","6:51.233","13:12:09.886","83","169","17","","344","0",""
"14","156","John Woodrow","Vet 40-49","1","1","","0.0","6:53.204","13:12:11.857","83","156","17","","356","0",""
"15","145","Simon Muir","Vet 40-49","1","1","","0.0","6:58.745","13:12:17.398","77","150","17","","345","0",""
"16","150","Matthew Smith","Vet 40-49","1","1","","0.0","7:00.680","13:12:19.333","81","171","13","","350","0",""
"17","152","Andrew Strathdee","Vet 40-49","1","1","","0.0","7:11.564","13:12:30.217","82","163","17","","352","0",""
"18","153","Fraser Waters","Vet 40-49","1","1","","0.0","7:13.173","13:12:31.826","84","164","17","","353","0",""
"19","138","David Mason","Vet 40-49","1","1","","0.0","7:25.343","13:12:43.996","82","159","22","","338","0",""
"20","140","Lindsay McGarvie","Vet 40-49","1","1","","0.0","7:27.715","13:12:46.368","84","150","22","","340","0",""
"21","117","Jason Barnes","Vet 40-49","1","1","","0.0","7:28.441","13:12:47.094","83","162","22","","317","0",""
"22","128","Jon Entwistle","Vet 40-49","1","1","","0.0","7:29.292","13:12:47.945","83","166","22","","328","0",""
"23","136","Iain Macleod","Vet 40-49","1","1","","0.0","7:30.392","13:12:49.045","84","163","22","","336","0",""
"24","135","David A Lindsay","Vet 40-49","1","1","","0.0","7:31.910","13:12:50.563","84","165","22","","335","0",""
"25","130","Craig Henderson","Vet 40-49","1","1","","0.0","7:38.052","13:12:56.705","84","158","19","","330","0",""
"26","157","Davie Graham","Vet 40-49","1","1","","0.0","7:41.247","13:12:59.900","83","175","16","","357","0",""
"27","125","Michael Dennison","Vet 40-49","1","1","","0.0","7:43.175","13:13:01.828","77","151","16","","325","0",""
"28","151","Martin Steele","Vet 40-49","1","1","","0.0","7:47.822","13:13:06.475","83","159","15","","351","0",""
"29","141","Neil McKenzie","Vet 40-49","1","1","","0.0","7:49.526","13:13:08.179","82","150","15","","341","0",""
"30","139","Jon McComisky","Vet 40-49","1","1","","0.0","7:51.906","13:13:10.559","81","171","15","","339","0",""
"31","122","Stephen Crawford","Vet 40-49","1","1","","0.0","7:52.905","13:13:11.558","79","156","15","","322","0",""
"32","154","Gordon Watt","Vet 40-49","1","1","","0.0","7:53.929","13:13:12.582","83","171","15","","354","0",""
"33","158","Alan Quinn","Vet 40-49","1","1","","0.0","7:54.766","13:13:13.419","84","171","15","","358","0",""
"34","118","Stephen Birrell","Vet 40-49","1","1","","0.0","7:57.022","13:13:15.675","77","166","15","","318","0",""
"35","133","Mark Kiehlmann","Vet 40-49","1","1","","0.0","7:58.538","13:13:17.191","83","168","15","","333","0",""
"36","127","Peter Ellen","Vet 40-49","1","1","","0.0","8:00.963","13:13:19.616","83","157","15","","327","0",""
"37","159","Brian Macleod","Vet 40-49","1","1","","0.0","8:02.774","13:13:21.427","80","165","15","","359","0",""
"38","126","Eric Easton","Vet 40-49","1","1","","0.0","8:04.758","13:13:23.411","81","151","15","","326","0",""
"39","124","Paul Davies","Vet 40-49","1","1","","0.0","8:19.957","13:13:38.610","84","163","14","","324","0",""
