"#","No.","Name","Category","Laps","Lead","Lap Tm","Spd","Elapsed Tm","Passing Tm","Hits","Strength","Noise","Photocell Time","Transponder","Backup Tx","Backup Passing Tm"
"1","","Category Start","Junior Male","","","","","0.000","11:59:22.440","","","","","","",""
"2","","Category Start","Vet 50+","","","","","0.000","11:59:52.455","","","","","","",""
"3","","Category Start","Junior Male","","","","","40.015","12:00:02.455","","","","","","",""
"4","","Category Start","Senior Female","","","","","0.000","12:00:22.637","","","","","","",""
"5","","Category Start","Junior Female","","","","","0.000","12:00:22.637","","","","","","",""
"6","","Category Start","Vet Female","","","","","0.000","12:00:22.637","","","","","","",""
"7","54","Innes Johnston","Junior Male","1","1","","0.0","6:28.287","12:05:50.727","84","152","15","","254","0",""
"8","56","Ross McMurtrie","Junior Male","1","1","","0.0","6:29.658","12:05:52.098","82","166","15","","256","0",""
"9","53","Logan Dow","Junior Male","1","1","","0.0","6:56.105","12:06:18.545","82","149","18","","253","0",""
"10","107","Colin Shearer","Vet 50+","1","1","","0.0","6:37.777","12:06:30.232","79","151","14","","307","0",""
"11","105","Neil Raitt","Vet 50+","1","1","","0.0","6:39.449","12:06:31.904","82","150","14","","305","0",""
"12","97","Robert Bloor","Vet 50+","1","1","","0.0","6:43.769","12:06:36.224","83","149","16","","297","0",""
"13","106","Euan Ritchie","Vet 50+","1","1","","0.0","6:58.819","12:06:51.274","81","153","16","","306","0",""
"14","63","Jane Barr","Senior Female","1","1","","0.0","6:32.055","12:06:54.692","78","174","16","","263","0",""
"15","99","Stephen Clayton","Vet 50+","1","1","","0.0","7:03.978","12:06:56.433","78","171","19","","299","0",""
"16","108","Fraser Tait","Vet 50+","1","1","","0.0","7:05.106","12:06:57.561","83","145","19","","308","0",""
"17","101","Michael Giles","Vet 50+","1","1","","0.0","7:11.984","12:07:04.439","78","150","17","","301","0",""
"18","91","Lucy Grant","Senior Female","1","1","","0.0","6:44.160","12:07:06.797","81","158","18","","291","0",""
"19","104","Howard Perkins","Vet 50+","1","1","","0.0","7:15.921","12:07:08.376","82","161","18","","304","0",""
"20","71","Anne Ewing","Senior Female","1","1","","0.0","6:58.395","12:07:21.032","81","154","17","","271","0",""
"21","66","Rhona Callander","Junior Female","1","1","","0.0","6:58.706","12:07:21.343","79","144","17","","266","0",""
