"#","No.","Name","Category","Laps","Lead","Lap Tm","Spd","Elapsed Tm","Passing Tm","Hits","Strength","Noise","Photocell Time","Transponder","Backup Tx","Backup Passing Tm"
"1","","Category Start","","","","","","","10:58:11.056","","","","","","",""
"2","","Category Start","U16 Male","","","","","0.000","10:58:11.056","","","","","","",""
"3","","Category Start","U14 Male","","","","","0.000","10:58:41.056","","","","","","",""
"4","??","KC-06052","","0","0","","0.0","","10:59:04.388","84","135","17","","306","0",""
"5","","Category Start","U16 Female","","","","","0.000","10:59:11.056","","","","","","",""
"6","","Category Start","U14 Female","","","","","0.000","10:59:41.056","","","","","","",""
"7","37","Cameron Mason","U16 Male","1","1","","0.0","6:01.108","11:04:12.164","80","152","13","","237","0",""
"8","27","Maximilian Bloor","U16 Male","1","1","","0.0","7:10.770","11:05:21.826","84","148","17","","227","0",""
"9","29","Callum Cooper","U14 Male","1","1","","0.0","6:41.843","11:05:22.899","82","157","17","","229","0",""
"10","28","Corran Carrick-Anderson","U14 Male","1","1","","0.0","6:42.889","11:05:23.945","79","158","17","","228","0",""
"11","42","Louis Moore","U14 Male","1","1","","0.0","7:05.120","11:05:46.176","78","170","13","","242","0",""
"12","41","Anna McGorum","U16 Female","1","1","","0.0","6:57.542","11:06:08.598","82","173","13","","241","0",""
"13","33","Sorley Johnston","U14 Male","1","1","","0.0","7:29.571","11:06:10.627","84","170","13","","233","0",""
"14","26","Ross Birrell","U14 Male","1","1","","0.0","7:31.268","11:06:12.324","83","174","12","","226","0",""
"15","38","Harry McGarvie","U16 Male","1","1","","0.0","8:19.703","11:06:30.759","81","160","29","","238","0",""
"16","44","Ishbel Strathdee","U16 Female","1","1","","0.0","7:25.195","11:06:36.251","84","163","17","","244","0",""
"17","31","Estelle Fuller","U16 Female","1","1","","0.0","7:28.814","11:06:39.870","83","160","17","","231","0",""
"18","32","Polly Henderson","U16 Female","1","1","","0.0","7:31.298","11:06:42.354","81","150","13","","232","0",""
"19","34","Patrick Kiehlmann","U14 Male","1","1","","0.0","8:07.891","11:06:48.947","83","153","15","","234","0",""
"20","39","Cameron McGarvie","U14 Male","1","1","","0.0","8:31.758","11:07:12.814","83","144","12","","239","0",""
"21","47","Megan Wilkinson","U16 Female","1","1","","0.0","8:03.202","11:07:14.258","84","152","12","","247","0",""
"22","30","Duncan Crawford","U14 Male","1","1","","0.0","8:40.878","11:07:21.934","81","167","11","","230","0",""
"23","45","Lucas Whtehead","U14 Male","1","1","","0.0","8:45.707","11:07:26.763","83","159","12","","245","0",""
"24","40","Elena McGorum","U14 Female","1","1","","0.0","7:49.978","11:07:31.034","83","154","12","","240","0",""
"25","??","KC-35659","","0","0","","0.0","","11:07:38.000","83","107","12","","307","0",""
"26","35","Katherine Macleod","U14 Female","1","1","","0.0","8:42.259","11:08:23.315","82","146","14","","235","0",""
