"#","No.","Name","Category","Laps","Lead","Lap Tm","Spd","Elapsed Tm","Passing Tm","Hits","Strength","Noise","Photocell Time","Transponder","Backup Tx","Backup Passing Tm"
"1","48","Craig Gow","J","0","0","","0.0","","13:32:32.380","56","149","18","","248","0",""
"2","62","Gary Beall","50-54","0","0","","0.0","","13:32:32.455","55","134","18","","262","0",""
"3","22","Lucy Grant","18-29F","0","0","","0.0","","13:32:32.529","46","135","18","","222","0",""
"4","23","Maddy Robinson","30-39F","0","0","","0.0","","13:32:32.537","47","135","18","","223","0",""
"5","24","Isla Short","18-29F","0","0","","0.0","","13:32:32.559","45","136","18","","224","0",""
"6","18","Jordan Stronach","18-29","0","0","","0.0","","13:32:32.596","44","156","18","","218","0",""
"7","65","Gordon Mackenzie","40-44","0","0","","0.0","","13:32:32.664","56","157","18","","265","0",""
"8","35","Brian Duncan","30-39","0","0","","0.0","","13:32:32.775","50","135","18","","235","0",""
"9","78","Keith Froude","40-44","0","0","","0.0","","13:32:32.830","58","137","18","","278","0",""
"10","57","Dominic Sharkey","18-29","0","0","","0.0","","13:32:32.909","54","159","18","","257","0",""
"11","","Category Start","30-39F","","","","","0.000","13:32:32.966","","","","","","",""
"12","","Category Start","18-29F","","","","","0.000","13:32:32.966","","","","","","",""
"13","","Category Start","30-39","","","","","0.000","13:32:32.966","","","","","","",""
"14","","Category Start","40-44","","","","","0.000","13:32:32.966","","","","","","",""
"15","","Category Start","45-49","","","","","0.000","13:32:32.966","","","","","","",""
"16","","Category Start","40-44F","","","","","0.000","13:32:32.966","","","","","","",""
"17","","Category Start","50-54","","","","","0.000","13:32:32.966","","","","","","",""
"18","","Category Start","55-59","","","","","0.000","13:32:32.966","","","","","","",""
"19","","Category Start","J","","","","","0.000","13:32:32.966","","","","","","",""
"20","","Category Start","18-29","","","","","0.000","13:32:32.967","","","","","","",""
"21","25","Kerry Macphee","18-29F","1","1","","0.0","","13:32:33.034","56","134","18","","225","0",""
"22","29","Alistair Dow","55-59","1","1","","0.0","","13:32:33.123","51","138","18","","229","0",""
